"plot_id","year","soc_obs_tCha","soc_pred","log_obs","log_hat","residual_log","residual_abs","region","species_code","species_name","soil_code","soil_type","shallow","n_soc_obs","mean_litter","mean_soc_Mgha","litter_cv","sp_frac_1","sp_frac_3","sp_frac_2","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84","conifer_share","mean_temp","mean_precip_annual","PET_annual","coldest_month_T","warmest_month_T","T_seasonality","GDD5","P_seasonality","aridity_index","koppen_class","temp_zone","soil_depth","ClayContent","SiltContent","SandContent","MeanBulkDensity","EstimatedBulkDensity","CoarseFragments","pH.CaCl2.","pH.H2O.","OrganicCarbon","TotalNitrogen","ExchangeableAcidity","ExchangeableAl","ExchangeableCa","ExchangeableFe","ExchangeableK","ExchangeableMg","ExchangeableMn","ExchangeableNa","FreeHAcidity","OrganicMatter","TexturalClass","ofh_upper_cm","ofh_lower_cm","ofh_weight_kgm2","profile_depth_cm","KA","kasvyo_syke","kasvyo_ahti","kasvyo_sk","alavyo_syke","suovyohyke","alavyohyke","eliomk","clay","CN_ratio","CEC","base_saturation","litter_A_frac","litter_W_frac","litter_E_frac","litter_N_frac","woody_share","stand_age_85","basal_area_85","mean_height_85_dm","dev_class_85","kasvup_tyyppi","alaryhma","ojitustilanne","temp_sum_NFI","elevation_m","stand_age_2006_est","any_cut_85_95","n_cuts_85_95","any_trt_85_95","soil_prep_pre85","peatland","organic_missing","organic_zero","high_mrt","has_climate","has_soc","calib_ready","is_holdout"
"53431",2006,68.8908927653764,20.5547549724579,4.23252398880951,3.02309229969781,1.2094316891117,48.3361377929185,1,1,"Scots pine","KM","Kumpumoreeni",TRUE,3,1.54571019324234,34.1687799740124,0.742916697758513,0.916296372445638,0.0837036275543617,0,404828.725445934,7046753.19203322,25.0856918244215,63.5361676533042,0.916296372445638,2.74153570121665,526.006846153846,644.973431119336,-8.94853250620347,15.7525007444169,9.0304859709378,1057.30004615385,0.372154708643548,0.815548084269105,"Dfc","intermediate",30,4.3,41,54.7,NA,879.2035,72.85,4.3355,4.937106,19.45,0.9,1.25,1.238,0.561,0.0385,0.062,0.088,0.08,0.03,0.1,5,"SL",-1,0,1.84,20,1,3,3,3,"3a","3","3a",13,4.3,21.6111111111111,2.079,0.356421356421356,0.559109867648518,0.131940895888705,0.0679873528431404,0.240961883619637,0.0985811338578876,3,0,3,2,4,1,"0",104,17,24,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"53431",2024,65.931009261289,33.2683658003807,4.18860888108159,3.50460696950871,0.684001911572874,32.6626434609083,1,1,"Scots pine","KM","Kumpumoreeni",TRUE,3,1.54571019324234,34.1687799740124,0.742916697758513,0.916296372445638,0.0837036275543617,0,404828.725445934,7046753.19203322,25.0856918244215,63.5361676533042,0.916296372445638,2.74153570121665,526.006846153846,644.973431119336,-8.94853250620347,15.7525007444169,9.0304859709378,1057.30004615385,0.372154708643548,0.815548084269105,"Dfc","intermediate",30,4.3,41,54.7,NA,879.2035,72.85,4.3355,4.937106,19.45,0.9,1.25,1.238,0.561,0.0385,0.062,0.088,0.08,0.03,0.1,5,"SL",-1,0,1.84,20,1,3,3,3,"3a","3","3a",13,4.3,21.6111111111111,2.079,0.356421356421356,0.559109867648518,0.131940895888705,0.0679873528431404,0.240961883619637,0.0985811338578876,3,0,3,2,4,1,"0",104,17,24,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"53471",1985,43.8245517805406,70.9338670372963,3.78019420327161,4.26174799279311,-0.481553789521498,-27.1093152567557,1,1,"Scots pine","Tu","Turvekerrostuma",FALSE,3,2.31608134843055,63.7659045521271,0.282418349242075,0.983596522586272,0.0164034774137292,0,436808.620773014,7046729.14106841,25.7287179177449,63.5430938937999,0.983596522586272,2.83259573785348,534.626569230769,642.022360554888,-9.19704416873449,16.0325434243176,9.19733434109837,1094.1746,0.372623192578488,0.832722662133919,"Dfc","intermediate",100,1.9,22.3,75.7,NA,589.339,59.1,3.7865,4.403478,21,0.85,3.83,3.571,0.261,0.195,0.0665,0.1115,0.003,0.027,0.245,5,"LS",-7,0,9.19,40,1,3,3,3,"3a","3","3a",13,1.9,24.7058823529412,4.282,0.108827650630546,0.570240713136311,0.11046429999573,0.0614729708315587,0.2578220160364,0.292650413706691,NA,18,NA,4,3,1,"0",106,17,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53471",2006,92.1226922398287,71.6311706900597,4.5231212998818,4.27153032406477,0.251590975817034,20.491521549769,1,1,"Scots pine","Tu","Turvekerrostuma",FALSE,3,2.31608134843055,63.7659045521271,0.282418349242075,0.983596522586272,0.0164034774137292,0,436808.620773014,7046729.14106841,25.7287179177449,63.5430938937999,0.983596522586272,2.83259573785348,534.626569230769,642.022360554888,-9.19704416873449,16.0325434243176,9.19733434109837,1094.1746,0.372623192578488,0.832722662133919,"Dfc","intermediate",100,1.9,22.3,75.7,NA,589.339,59.1,3.7865,4.403478,21,0.85,3.83,3.571,0.261,0.195,0.0665,0.1115,0.003,0.027,0.245,5,"LS",-7,0,9.19,40,1,3,3,3,"3a","3","3a",13,1.9,24.7058823529412,4.282,0.108827650630546,0.570240713136311,0.11046429999573,0.0614729708315587,0.2578220160364,0.292650413706691,NA,18,NA,4,3,1,"0",106,17,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53471",2024,86.5340886115607,72.4312472343445,4.46053842430048,4.28263779791738,0.177900626383094,14.1028413772162,1,1,"Scots pine","Tu","Turvekerrostuma",FALSE,3,2.31608134843055,63.7659045521271,0.282418349242075,0.983596522586272,0.0164034774137292,0,436808.620773014,7046729.14106841,25.7287179177449,63.5430938937999,0.983596522586272,2.83259573785348,534.626569230769,642.022360554888,-9.19704416873449,16.0325434243176,9.19733434109837,1094.1746,0.372623192578488,0.832722662133919,"Dfc","intermediate",100,1.9,22.3,75.7,NA,589.339,59.1,3.7865,4.403478,21,0.85,3.83,3.571,0.261,0.195,0.0665,0.1115,0.003,0.027,0.245,5,"LS",-7,0,9.19,40,1,3,3,3,"3a","3","3a",13,1.9,24.7058823529412,4.282,0.108827650630546,0.570240713136311,0.11046429999573,0.0614729708315587,0.2578220160364,0.292650413706691,NA,18,NA,4,3,1,"0",106,17,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53512",1985,55.6770459595053,85.3433297872543,4.01956796073056,4.44668229489479,-0.427114334164227,-29.666283827749,1,3,"Birch","SiMr","Silttimoreeni",FALSE,3,2.62715421598469,60.5888455333155,0.46661279590113,0,0.523603188922413,0.476396811077587,468798.090147657,7047111.6741501,26.3721353108788,63.550786262154,0.476396811077587,2.65910674163804,555.878784615385,631.806120528072,-9.5067334987593,15.9827637717122,9.27720242591638,1081.51395384615,0.368149664313603,0.879824944004615,"Dfc","intermediate",30,6.8,37.1,56.1,NA,916.428,51.9,4.19825,4.803699,20.5,1.35,1.845,1.8075,1.24,0.109,0.0905,0.3405,0.04,0.041,0.1,4.8,"SL",-4,0,9.34,80,2,2,2,2,"2b","3","3a",11,6.8,15.1851851851852,3.6195,0.472993507390524,0.495791164943483,0.130094408166849,0.0707498914019525,0.303364535487716,0.258100780202983,NA,23,NA,6,2,1,"1",107,15,NA,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53512",2006,100.038950784016,84.0054525136948,4.60555961798976,4.43088170761401,0.174677910375753,16.0334982703212,1,3,"Birch","SiMr","Silttimoreeni",FALSE,3,2.62715421598469,60.5888455333155,0.46661279590113,0,0.523603188922413,0.476396811077587,468798.090147657,7047111.6741501,26.3721353108788,63.550786262154,0.476396811077587,2.65910674163804,555.878784615385,631.806120528072,-9.5067334987593,15.9827637717122,9.27720242591638,1081.51395384615,0.368149664313603,0.879824944004615,"Dfc","intermediate",30,6.8,37.1,56.1,NA,916.428,51.9,4.19825,4.803699,20.5,1.35,1.845,1.8075,1.24,0.109,0.0905,0.3405,0.04,0.041,0.1,4.8,"SL",-4,0,9.34,80,2,2,2,2,"2b","3","3a",11,6.8,15.1851851851852,3.6195,0.472993507390524,0.495791164943483,0.130094408166849,0.0707498914019525,0.303364535487716,0.258100780202983,NA,23,NA,6,2,1,"1",107,15,NA,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53512",2024,70.7338524935886,85.4588754177094,4.25892427716799,4.44803527096371,-0.189110993795721,-14.7250229241208,1,3,"Birch","SiMr","Silttimoreeni",FALSE,3,2.62715421598469,60.5888455333155,0.46661279590113,0,0.523603188922413,0.476396811077587,468798.090147657,7047111.6741501,26.3721353108788,63.550786262154,0.476396811077587,2.65910674163804,555.878784615385,631.806120528072,-9.5067334987593,15.9827637717122,9.27720242591638,1081.51395384615,0.368149664313603,0.879824944004615,"Dfc","intermediate",30,6.8,37.1,56.1,NA,916.428,51.9,4.19825,4.803699,20.5,1.35,1.845,1.8075,1.24,0.109,0.0905,0.3405,0.04,0.041,0.1,4.8,"SL",-4,0,9.34,80,2,2,2,2,"2b","3","3a",11,6.8,15.1851851851852,3.6195,0.472993507390524,0.495791164943483,0.130094408166849,0.0707498914019525,0.303364535487716,0.258100780202983,NA,23,NA,6,2,1,"1",107,15,NA,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53531",1985,35.9826716770907,88.6779719591141,3.58303748027068,4.48501151528401,-0.901974035013334,-52.6953002820234,1,1,"Scots pine","SiMr","Silttimoreeni",FALSE,3,2.98794228202786,58.7271018421392,0.316082206780039,0.855655511776534,0.0509685342072274,0.0933759540162372,484764.118611392,7046728.38604592,26.6934424248654,63.5483926250906,0.949031465792772,2.86697066878339,552.552215384615,636.834928345895,-9.57848933002481,16.3330456575682,9.41837426840458,1131.94869230769,0.371301600411802,0.867653752629125,"Dfc","intermediate",30,1.1,16.5,82.4,NA,706.751,63.7,3.83225,4.447947,26.25,1.1,2.625,2.425,0.2795,0.2115,0.078,0.133,0.0165,0.027,0.225,6.4,"LS",-4,0,7.56,40,1,2,2,2,"2b","3","3a",11,1.1,23.8636363636364,3.1675,0.163378058405683,0.564787641325516,0.114257798806873,0.0623825664324765,0.258571993435134,0.263310017195132,NA,22,NA,4,4,1,"0",107,16,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53531",2006,127.02016972193,88.7218658924103,4.84434589055666,4.48550637406995,0.358839516486717,38.2983038295197,1,1,"Scots pine","SiMr","Silttimoreeni",FALSE,3,2.98794228202786,58.7271018421392,0.316082206780039,0.855655511776534,0.0509685342072274,0.0933759540162372,484764.118611392,7046728.38604592,26.6934424248654,63.5483926250906,0.949031465792772,2.86697066878339,552.552215384615,636.834928345895,-9.57848933002481,16.3330456575682,9.41837426840458,1131.94869230769,0.371301600411802,0.867653752629125,"Dfc","intermediate",30,1.1,16.5,82.4,NA,706.751,63.7,3.83225,4.447947,26.25,1.1,2.625,2.425,0.2795,0.2115,0.078,0.133,0.0165,0.027,0.225,6.4,"LS",-4,0,7.56,40,1,2,2,2,"2b","3","3a",11,1.1,23.8636363636364,3.1675,0.163378058405683,0.564787641325516,0.114257798806873,0.0623825664324765,0.258571993435134,0.263310017195132,NA,22,NA,4,4,1,"0",107,16,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53531",2024,63.0656362532282,93.2746359109879,4.14417602933673,4.53554821570628,-0.391372186369555,-30.2089996577597,1,1,"Scots pine","SiMr","Silttimoreeni",FALSE,3,2.98794228202786,58.7271018421392,0.316082206780039,0.855655511776534,0.0509685342072274,0.0933759540162372,484764.118611392,7046728.38604592,26.6934424248654,63.5483926250906,0.949031465792772,2.86697066878339,552.552215384615,636.834928345895,-9.57848933002481,16.3330456575682,9.41837426840458,1131.94869230769,0.371301600411802,0.867653752629125,"Dfc","intermediate",30,1.1,16.5,82.4,NA,706.751,63.7,3.83225,4.447947,26.25,1.1,2.625,2.425,0.2795,0.2115,0.078,0.133,0.0165,0.027,0.225,6.4,"LS",-4,0,7.56,40,1,2,2,2,"2b","3","3a",11,1.1,23.8636363636364,3.1675,0.163378058405683,0.564787641325516,0.114257798806873,0.0623825664324765,0.258571993435134,0.263310017195132,NA,22,NA,4,4,1,"0",107,16,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"53571",1985,44.3776105524635,34.1400740146637,3.79273507541649,3.53047188533886,0.262263190077629,10.2375365377998,1,3,"Birch","Mr","Sora- ja hiekkamoreeni",FALSE,3,1.72141979827456,65.5972025811762,0.43202297534846,0.0674590193398922,0.793788853588329,0.138752127071779,516767.112500651,7046741.41116002,27.337367884421,63.5484403813777,0.206211146411671,2.87836015031625,553.364923076923,632.727128064384,-9.80946699751861,16.5118362282878,9.5484059695653,1151.86515384615,0.365915886520571,0.87457119907243,"Dfc","intermediate",30,19.7,62,18.3,NA,919.766,34.6,4.061,4.670292,18.7,1.25,2.1845,2.0525,0.7135,0.087,0.088,0.229,0.037,0.032,0.1,4.55,"SiL",-4,0,8.47,80,1,2,2,2,"2b","3","3a",11,19.7,14.96,3.215,0.330482115085537,0.463968401259579,0.161727842111787,0.0834702543462984,0.290833502282336,0.135393481005409,NA,0,NA,0,2,1,"0",112,11,NA,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"53571",2006,88.7722706126047,37.8765515685081,4.48607433335629,3.63433222849564,0.851742104860651,50.8957190440966,1,3,"Birch","Mr","Sora- ja hiekkamoreeni",FALSE,3,1.72141979827456,65.5972025811762,0.43202297534846,0.0674590193398922,0.793788853588329,0.138752127071779,516767.112500651,7046741.41116002,27.337367884421,63.5484403813777,0.206211146411671,2.87836015031625,553.364923076923,632.727128064384,-9.80946699751861,16.5118362282878,9.5484059695653,1151.86515384615,0.365915886520571,0.87457119907243,"Dfc","intermediate",30,19.7,62,18.3,NA,919.766,34.6,4.061,4.670292,18.7,1.25,2.1845,2.0525,0.7135,0.087,0.088,0.229,0.037,0.032,0.1,4.55,"SiL",-4,0,8.47,80,1,2,2,2,"2b","3","3a",11,19.7,14.96,3.215,0.330482115085537,0.463968401259579,0.161727842111787,0.0834702543462984,0.290833502282336,0.135393481005409,NA,0,NA,0,2,1,"0",112,11,NA,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
