==========================================================
  Yasso07  Chain 3 / 5
  Run ID:  20260601_135824
  Started: 2026-06-01 19:46:10.94577
  Plots:   358 | Iter: 50000 | Cores: 11
==========================================================

Initial ll at best_x: -5200.527

[20:41:24]  eval 15200  |  ll:  -4887.875  |  4.59 eval/s  |  55.2 min  |  -Inf: 4
[20:42:06]  eval 15400  |  ll:  -4895.191  |  4.59 eval/s  |  55.9 min  |  -Inf: 4
[20:42:48]  eval 15600  |  ll:  -4879.423  |  4.59 eval/s  |  56.6 min  |  -Inf: 4
[20:43:31]  eval 15800  |  ll:  -4858.681  |  4.59 eval/s  |  57.3 min  |  -Inf: 4
[20:44:17]  eval 16000  |  ll:  -4948.451  |  4.59 eval/s  |  58.1 min  |  -Inf: 4
[20:44:58]  eval 16200  |  ll:  -4973.764  |  4.59 eval/s  |  58.8 min  |  -Inf: 4
[20:45:40]  eval 16400  |  ll:  -4876.039  |  4.59 eval/s  |  59.5 min  |  -Inf: 4
[20:46:22]  eval 16600  |  ll:  -4897.153  |  4.60 eval/s  |  60.2 min  |  -Inf: 4
[20:47:06]  eval 16800  |  ll:  -4991.862  |  4.60 eval/s  |  60.9 min  |  -Inf: 4
[20:47:50]  eval 17000  |  ll:  -4875.463  |  4.60 eval/s  |  61.7 min  |  -Inf: 4
[20:48:31]  eval 17200  |  ll:  -4949.376  |  4.60 eval/s  |  62.3 min  |  -Inf: 4
[20:49:13]  eval 17400  |  ll:  -4872.968  |  4.60 eval/s  |  63.0 min  |  -Inf: 4
[20:49:56]  eval 17600  |  ll:  -4883.019  |  4.60 eval/s  |  63.7 min  |  -Inf: 4
[20:50:42]  eval 17800  |  ll:  -4900.328  |  4.60 eval/s  |  64.5 min  |  -Inf: 4
[20:51:23]  eval 18000  |  ll:  -4886.528  |  4.60 eval/s  |  65.2 min  |  -Inf: 4
[20:52:04]  eval 18200  |  ll:  -4937.063  |  4.60 eval/s  |  65.9 min  |  -Inf: 4
[20:52:46]  eval 18400  |  ll:  -4918.718  |  4.61 eval/s  |  66.6 min  |  -Inf: 4
[20:53:28]  eval 18600  |  ll:  -4882.827  |  4.61 eval/s  |  67.3 min  |  -Inf: 4
[20:54:15]  eval 18800  |  ll:  -4915.900  |  4.60 eval/s  |  68.1 min  |  -Inf: 4
[20:54:55]  eval 19000  |  ll:  -4900.554  |  4.61 eval/s  |  68.7 min  |  -Inf: 4
[20:55:37]  eval 19200  |  ll: -790574.807  |  4.61 eval/s  |  69.4 min  |  -Inf: 4
[20:56:20]  eval 19400  |  ll:  -4885.542  |  4.61 eval/s  |  70.2 min  |  -Inf: 4
[20:57:02]  eval 19600  |  ll:  -4900.156  |  4.61 eval/s  |  70.9 min  |  -Inf: 4
[20:57:49]  eval 19800  |  ll:  -4940.943  |  4.61 eval/s  |  71.6 min  |  -Inf: 4
[20:58:30]  eval 20000  |  ll:  -5233.642  |  4.61 eval/s  |  72.3 min  |  -Inf: 4
[20:59:12]  eval 20200  |  ll:  -5692.091  |  4.61 eval/s  |  73.0 min  |  -Inf: 4
[20:59:55]  eval 20400  |  ll:  -5292.438  |  4.61 eval/s  |  73.7 min  |  -Inf: 4
[21:00:37]  eval 20600  |  ll:  -5102.354  |  4.61 eval/s  |  74.4 min  |  -Inf: 4
[21:01:23]  eval 20800  |  ll:  -5000.732  |  4.61 eval/s  |  75.2 min  |  -Inf: 4
[21:02:05]  eval 21000  |  ll:  -4979.123  |  4.61 eval/s  |  75.9 min  |  -Inf: 4
[21:02:47]  eval 21200  |  ll:  -4870.038  |  4.61 eval/s  |  76.6 min  |  -Inf: 4
[21:03:29]  eval 21400  |  ll:  -4865.135  |  4.61 eval/s  |  77.3 min  |  -Inf: 4
[21:04:14]  eval 21600  |  ll:  -4871.668  |  4.61 eval/s  |  78.0 min  |  -Inf: 4
[21:04:58]  eval 21800  |  ll:  -4883.375  |  4.61 eval/s  |  78.8 min  |  -Inf: 4
[21:05:39]  eval 22000  |  ll:  -4977.136  |  4.61 eval/s  |  79.5 min  |  -Inf: 4
[21:06:21]  eval 22200  |  ll:  -6070.756  |  4.61 eval/s  |  80.2 min  |  -Inf: 4
[21:07:04]  eval 22400  |  ll:  -4881.515  |  4.62 eval/s  |  80.9 min  |  -Inf: 4
[21:07:51]  eval 22600  |  ll:  -4890.855  |  4.61 eval/s  |  81.7 min  |  -Inf: 4
[21:08:31]  eval 22800  |  ll:  -5983.206  |  4.62 eval/s  |  82.3 min  |  -Inf: 4
[21:09:12]  eval 23000  |  ll:  -4917.115  |  4.62 eval/s  |  83.0 min  |  -Inf: 4
[21:09:55]  eval 23200  |  ll:  -4891.647  |  4.62 eval/s  |  83.7 min  |  -Inf: 4
[21:10:38]  eval 23400  |  ll:  -4880.657  |  4.62 eval/s  |  84.5 min  |  -Inf: 4
[21:11:24]  eval 23600  |  ll:  -4870.224  |  4.62 eval/s  |  85.2 min  |  -Inf: 4
[21:12:06]  eval 23800  |  ll:  -4881.396  |  4.62 eval/s  |  85.9 min  |  -Inf: 4
[21:12:49]  eval 24000  |  ll:  -5553.341  |  4.62 eval/s  |  86.6 min  |  -Inf: 4
[21:13:32]  eval 24200  |  ll:  -4931.260  |  4.62 eval/s  |  87.3 min  |  -Inf: 4
[21:14:15]  eval 24400  |  ll:  -4870.819  |  4.62 eval/s  |  88.1 min  |  -Inf: 4
[21:15:01]  eval 24600  |  ll:  -4867.701  |  4.62 eval/s  |  88.8 min  |  -Inf: 4
[21:15:43]  eval 24800  |  ll:  -4868.448  |  4.62 eval/s  |  89.5 min  |  -Inf: 4
[21:16:25]  eval 25000  |  ll:  -4901.586  |  4.62 eval/s  |  90.2 min  |  -Inf: 4
[21:17:09]  eval 25200  |  ll:  -4863.417  |  4.62 eval/s  |  91.0 min  |  -Inf: 4
[21:17:56]  eval 25400  |  ll:  -4916.172  |  4.61 eval/s  |  91.8 min  |  -Inf: 4
[21:18:46]  eval 25600  |  ll:  -4875.797  |  4.61 eval/s  |  92.6 min  |  -Inf: 4
[21:19:29]  eval 25800  |  ll:  -4879.268  |  4.61 eval/s  |  93.3 min  |  -Inf: 4
[21:20:11]  eval 26000  |  ll:  -4889.936  |  4.61 eval/s  |  94.0 min  |  -Inf: 4
[21:20:54]  eval 26200  |  ll:  -4880.351  |  4.61 eval/s  |  94.7 min  |  -Inf: 4
