"plot_id","x_KKJ","y_KKJ","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84"
13234,3244941.279,6730881.221,244874.080244487,6728056.05039424,22.337744109356,60.6069128526191
13253,3260957.198,6730478.057,260883.570638004,6727653.12668215,22.6297644777177,60.6131681756271
13254,3260944.765,6730891.84,260871.140606725,6728066.74346756,22.6290363120267,60.6168635888472
13273,3276937.359,6730480.216,276857.314458275,6727655.36286231,22.9208092659257,60.622394601826
13274,3276936.118,6730889.32,276856.071961025,6728064.30255723,22.9203233597245,60.6260562335282
13291,3292943.713,6729697.919,292857.243638506,6726873.45806015,23.2133424693315,60.6239769421961
13294,3292944.822,6730878.205,292858.346448605,6728053.26998487,23.2121213767829,60.6345472006688
13331,3324868.353,6729683.216,324769.059011891,6726858.9159872,23.7955497368658,60.639070973074
13332,3324949.7,6730084.908,324850.371382995,6727260.44698829,23.7966764547161,60.6427059997785
13333,3324952.853,6730469.737,324853.521252803,6727645.12138603,23.7963913690168,60.6461557332767
13334,3324953.082,6730892.733,324853.748113211,6728067.94743491,23.7960188476878,60.6499461900252
13351,3340941.968,6729686.913,340836.215535661,6726862.68925425,24.0888996961021,60.64581169699
13352,3340945.166,6730097.371,340839.41026762,6727272.98233104,24.0886258948415,60.6494919783307
13353,3340950.304,6730502.602,340844.544245872,6727678.05051773,24.0883916734652,60.6531261773897
13354,3340944.248,6730898.758,340838.48876665,6728074.0472972,24.0879603219007,60.6566745838718
13371,3356945.978,6729700.871,356833.794051639,6726876.71886246,24.3811060841336,60.6519768668554
13372,3356956.005,6730095.865,356843.815118504,6727271.55416342,24.3810015441547,60.6555217248962
13373,3356944.428,6730486.492,356832.240889422,6727662.02411552,24.3805055144105,60.6590197042464
13374,3356952.28,6730890.975,356840.087785827,6728066.34459262,24.3803542157301,60.6626488524429
13391,3372954.609,6729686.337,372835.990927628,6726862.26774692,24.6735376320468,60.6572503825429
13393,3372958.889,6730483.538,372840.265376161,6727659.14832831,24.6730998363931,60.6644005234927
13394,3372945.129,6730893.076,372826.508939724,6728068.52164644,24.6725831801352,60.6680686182443
13411,3388938.927,6729681.523,388813.883614354,6726857.53241247,24.9656237351091,60.6619657357182
